ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.956694735264447	0.01306532663316583,0.0743718592964824,0.0763819095477387,0.08944723618090453,0.07336683417085427,0.023115577889447236,0.08844221105527639,0.06834170854271357,0.0743718592964824,0.0914572864321608,0.021105527638190954,0.06733668341708543,0.09246231155778895,0.06532663316582915,0.06834170854271357,0.01306532663316583
28.24	0.955826192171779	0.01407035175879397,0.05728643216080402,0.07738693467336684,0.08542713567839195,0.07035175879396985,0.03819095477386935,0.10854271356783919,0.053266331658291456,0.05728643216080402,0.10552763819095477,0.031155778894472363,0.0763819095477387,0.09246231155778895,0.07035175879396985,0.054271356783919596,0.008040201005025126
28.24	0.9492588501958285	0.004020100502512563,0.05527638190954774,0.0743718592964824,0.08944723618090453,0.07537688442211055,0.02613065326633166,0.10552763819095477,0.06030150753768844,0.05527638190954774,0.10854271356783919,0.027135678391959798,0.0763819095477387,0.08844221105527639,0.07738693467336684,0.06030150753768844,0.016080402010050253
28.24	0.9515227181703684	0.011055276381909548,0.062311557788944726,0.07336683417085427,0.09849246231155778,0.07537688442211055,0.031155778894472363,0.09849246231155778,0.06030150753768844,0.062311557788944726,0.10954773869346733,0.033165829145728645,0.06030150753768844,0.09547738693467336,0.062311557788944726,0.06030150753768844,0.006030150753768844
28.24	0.9550373925892011	0.009045226130653266,0.05728643216080402,0.07236180904522613,0.08844221105527639,0.07135678391959799,0.02914572864321608,0.1035175879396985,0.062311557788944726,0.05728643216080402,0.10251256281407035,0.02814070351758794,0.07738693467336684,0.08944723618090453,0.0763819095477387,0.062311557788944726,0.01306532663316583
28.24	0.9501907709848054	0.017085427135678392,0.06633165829145729,0.06834170854271357,0.09547738693467336,0.06532663316582915,0.02814070351758794,0.10954773869346733,0.05829145728643216,0.06633165829145729,0.09748743718592964,0.02512562814070352,0.07236180904522613,0.09849246231155778,0.06934673366834171,0.05829145728643216,0.004020100502512563
28.24	0.9416564572212506	0.005025125628140704,0.0592964824120603,0.06331658291457286,0.10452261306532663,0.06331658291457286,0.027135678391959798,0.11758793969849246,0.05527638190954774,0.0592964824120603,0.10954773869346733,0.027135678391959798,0.06834170854271357,0.10552763819095477,0.06834170854271357,0.05527638190954774,0.011055276381909548
28.24	0.9563730254204444	0.006030150753768844,0.06331658291457286,0.061306532663316586,0.09748743718592964,0.07035175879396985,0.023115577889447236,0.0964824120603015,0.06934673366834171,0.06331658291457286,0.09547738693467336,0.031155778894472363,0.06834170854271357,0.08944723618090453,0.0763819095477387,0.06934673366834171,0.019095477386934675
28.24	0.9482879824775156	0.010050251256281407,0.061306532663316586,0.06331658291457286,0.09949748743718594,0.062311557788944726,0.022110552763819097,0.10954773869346733,0.06331658291457286,0.061306532663316586,0.10150753768844221,0.022110552763819097,0.07336683417085427,0.10050251256281408,0.07336683417085427,0.06331658291457286,0.01306532663316583
28.24	0.9411321556297981	0.010050251256281407,0.06934673366834171,0.07236180904522613,0.09547738693467336,0.06532663316582915,0.018090452261306532,0.10251256281407035,0.06733668341708543,0.06934673366834171,0.09849246231155778,0.011055276381909548,0.0743718592964824,0.10251256281407035,0.06633165829145729,0.06733668341708543,0.010050251256281407
28.24	0.9566839132960693	0.016080402010050253,0.06633165829145729,0.07336683417085427,0.09346733668341708,0.08040201005025126,0.018090452261306532,0.0964824120603015,0.062311557788944726,0.06633165829145729,0.10050251256281408,0.02613065326633166,0.06532663316582915,0.08542713567839195,0.07336683417085427,0.062311557788944726,0.01407035175879397
28.24	0.9526063789373027	0.01507537688442211,0.06633165829145729,0.062311557788944726,0.09748743718592964,0.0592964824120603,0.022110552763819097,0.10452261306532663,0.06733668341708543,0.06633165829145729,0.09246231155778895,0.019095477386934675,0.07537688442211055,0.09949748743718594,0.07236180904522613,0.06733668341708543,0.01306532663316583
28.24	0.9538803419532197	0.012060301507537688,0.05125628140703518,0.06934673366834171,0.08743718592964825,0.06532663316582915,0.03015075376884422,0.11457286432160804,0.05728643216080402,0.05125628140703518,0.10552763819095477,0.02613065326633166,0.08442211055276382,0.0914572864321608,0.08040201005025126,0.05728643216080402,0.016080402010050253
28.24	0.9578618419077023	0.010050251256281407,0.062311557788944726,0.06733668341708543,0.08844221105527639,0.06834170854271357,0.027135678391959798,0.10552763819095477,0.062311557788944726,0.061306532663316586,0.09346733668341708,0.02914572864321608,0.07939698492462312,0.0864321608040201,0.0814070351758794,0.062311557788944726,0.01507537688442211
28.24	0.9603436187104459	0.008040201005025126,0.05628140703517588,0.06633165829145729,0.0864321608040201,0.06432160804020101,0.034170854271356785,0.10050251256281408,0.06733668341708543,0.05628140703517588,0.0964824120603015,0.032160804020100506,0.0814070351758794,0.08844221105527639,0.07839195979899498,0.06633165829145729,0.017085427135678392
28.24	0.9544464049373236	0.011055276381909548,0.05829145728643216,0.0763819095477387,0.09045226130653267,0.07336683417085427,0.02512562814070352,0.0964824120603015,0.06532663316582915,0.05829145728643216,0.10854271356783919,0.022110552763819097,0.07135678391959799,0.09346733668341708,0.06834170854271357,0.06532663316582915,0.016080402010050253
